"","text","size"
"continue","continue",5
"coolpad","coolpad",5
"display","display",5
"displayset","displayset",5
"emerging","emerging",5
"ended","ended",5
"finally","finally",5
"grow","grow",5
"india","india",5
"largest","largest",5
"movies","movies",5
"notemay","notemay",5
"owners","owners",5
"pack","pack",5
"respective","respective",5
"rumor","rumor",5
"samsungs","samsungs",5
"screen","screen",5
"smart","smart",5
"subscribing","subscribing",5
"technology","technology",5
"topsmartphone","topsmartphone",5
"tough","tough",5
"uhd","uhd",5
"video","video",5
"amoled","amoled",4
"black","black",4
"bluetooth","bluetooth",4
"box","box",4
"case","case",4
"charger","charger",4
"charging","charging",4
"colorful","colorful",4
"comes","comes",4
"doesnt","doesnt",4
"doubt","doubt",4
"edge","edge",4
"etcfull","etcfull",4
"front","front",4
"germany","germany",4
"just","just",4
"leaked","leaked",4
"lenovohuaweiandplus","lenovohuaweiandplus",4
"line","line",4
"market","market",4
"marketsthrowbackthursdaysmartphone","marketsthrowbackthursdaysmartphone",4
"netflix","netflix",4
"nokia","nokia",4
"number","number",4
"pad","pad",4
"phone","phone",4
"prepping","prepping",4
"products","products",4
"put","put",4
"revenue","revenue",4
"sales","sales",4
"sandroidgearssamsung","sandroidgearssamsung",4
"second","second",4
"see","see",4
"sonylg","sonylg",4
"start","start",4
"straps","straps",4
"take","take",4
"wireless","wireless",4
"withppi","withppi",4
"wrist","wrist",4
"zte","zte",4
"augustandroidsamsungsuperamoledamoled","augustandroidsamsungsuperamoledamoled",3
"become","become",3
"camera","camera",3
"click","click",3
"details","details",3
"electronics","electronics",3
"guide","guide",3
"ipad","ipad",3
"iphone","iphone",3
"itandroidgalaxynoteedgesamsunggalaxynote","itandroidgalaxynoteedgesamsunggalaxynote",3
"launch","launch",3
"lens","lens",3
"microsoft","microsoft",3
"noteretail","noteretail",3
"phones","phones",3
"smartphoneandroid","smartphoneandroid",3
"smartphones","smartphones",3
"ssmartphones","ssmartphones",3
"takes","takes",3
"techent","techent",3
"technews","technews",3
"tell","tell",3
"time","time",3
"unlesspeople","unlesspeople",3
"unrooting","unrooting",3
"using","using",3
"want","want",3
"wont","wont",3
"abstractart","abstractart",2
"apparent","apparent",2
"beat","beat",2
"beats","beats",2
"becomes","becomes",2
"bhmnbacsta","bhmnbacsta",2
"big","big",2
"budget","budget",2
"business","business",2
"consumerfacing","consumerfacing",2
"core","core",2
"correct","correct",2
"different","different",2
"digitizer","digitizer",2
"end","end",2
"english","english",2
"first","first",2
"flash","flash",2
"free","free",2
"galaxys","galaxys",2
"gamereview","gamereview",2
"gearcircle","gearcircle",2
"glass","glass",2
"handset","handset",2
"headphones","headphones",2
"headset","headset",2
"heir","heir",2
"hybrid","hybrid",2
"interest","interest",2
"itc","itc",2
"jaeyong","jaeyong",2
"keyboard","keyboard",2
"korean","korean",2
"lawsuit","lawsuit",2
"led","led",2
"lee","lee",2
"lol","lol",2
"looks","looks",2
"mobile","mobile",2
"model","model",2
"much","much",2
"noteand","noteand",2
"one","one",2
"onwishdash","onwishdash",2
"overtakes","overtakes",2
"peoples","peoples",2
"photo","photo",2
"priceusdbids","priceusdbids",2
"product","product",2
"published","published",2
"really","really",2
"replacement","replacement",2
"revenues","revenues",2
"right","right",2
"rugged","rugged",2
"samsunggalaxynoteedge","samsunggalaxynoteedge",2
"secondlargest","secondlargest",2
"seriessmart","seriessmart",2
"slim","slim",2
"smartwatch","smartwatch",2
"south","south",2
"spanish","spanish",2
"sucks","sucks",2
"tablet","tablet",2
"thinking","thinking",2
"top","top",2
"touch","touch",2
"travel","travel",2
"universal","universal",2
"usacolors","usacolors",2
"usanew","usanew",2
"usasamsung","usasamsung",2
"virtual","virtual",2
"white","white",2
"word","word",2
"aboutmillion","aboutmillion",1
"aboutsquare","aboutsquare",1
"abstract","abstract",1
"abstractarteveryday","abstractarteveryday",1
"accessories","accessories",1
"address","address",1
"adds","adds",1
"advantage","advantage",1
"aed","aed",1
"againmore","againmore",1
"ahn","ahn",1
"airvs","airvs",1
"aka","aka",1
"along","along",1
"alongside","alongside",1
"alpha","alpha",1
"amazing","amazing",1
"america","america",1
"among","among",1
"andgb","andgb",1
"app","app",1
"appear","appear",1
"applesamsung","applesamsung",1
"applesamsungcontest","applesamsungcontest",1
"area","area",1
"around","around",1
"art","art",1
"artistartpages","artistartpages",1
"artisticgoogle","artisticgoogle",1
"artwork","artwork",1
"asking","asking",1
"atfull","atfull",1
"attentionsourcesamsunggalaxy","attentionsourcesamsunggalaxy",1
"augustandroidsamsungsuperamoled","augustandroidsamsungsuperamoled",1
"auspicious","auspicious",1
"autism","autism",1
"autismawareness","autismawareness",1
"automatically","automatically",1
"availability","availability",1
"bandridge","bandridge",1
"bear","bear",1
"beboy","beboy",1
"begin","begin",1
"belle","belle",1
"belt","belt",1
"better","better",1
"bezels","bezels",1
"bfiimax","bfiimax",1
"bit","bit",1
"blessed","blessed",1
"bluetoothheadphones","bluetoothheadphones",1
"bold","bold",1
"boxes","boxes",1
"brand","brand",1
"brightonbirdseyesteamfresh","brightonbirdseyesteamfresh",1
"broken","broken",1
"brushed","brushed",1
"burnerusbmb","burnerusbmb",1
"cable","cable",1
"cables","cables",1
"cachejobs","cachejobs",1
"canon","canon",1
"capital","capital",1
"capitalizing","capitalizing",1
"capture","capture",1
"cases","cases",1
"celebrate","celebrate",1
"cellphonerepair","cellphonerepair",1
"cells","cells",1
"central","central",1
"change","change",1
"changing","changing",1
"charge","charge",1
"chargers","chargers",1
"chinas","chinas",1
"chinasamsung","chinasamsung",1
"chinese","chinese",1
"choice","choice",1
"choose","choose",1
"circle","circle",1
"clip","clip",1
"colorspaintitclub","colorspaintitclub",1
"coming","coming",1
"compare","compare",1
"computer","computer",1
"concerns","concerns",1
"considered","considered",1
"corp","corp",1
"correcting","correcting",1
"corrupt","corrupt",1
"counter","counter",1
"court","court",1
"cover","cover",1
"cracked","cracked",1
"crore","crore",1
"culture","culture",1
"cuponsaveonlymsrpsamsung","cuponsaveonlymsrpsamsung",1
"curious","curious",1
"cutting","cutting",1
"dailydigitalpainting","dailydigitalpainting",1
"dar","dar",1
"data","data",1
"date","date",1
"day","day",1
"death","death",1
"december","december",1
"decoart","decoart",1
"defender","defender",1
"delayed","delayed",1
"dictionary","dictionary",1
"digital","digital",1
"digitalart","digitalart",1
"digitalpainting","digitalpainting",1
"dislike","dislike",1
"displaygoog","displaygoog",1
"dispute","dispute",1
"dvd","dvd",1
"earphone","earphone",1
"ecosystem","ecosystem",1
"edgeits","edgeits",1
"elven","elven",1
"embrace","embrace",1
"entirely","entirely",1
"entry","entry",1
"estimated","estimated",1
"even","even",1
"ever","ever",1
"evo","evo",1
"examplewhen","examplewhen",1
"expands","expands",1
"expected","expected",1
"external","external",1
"fake","fake",1
"farther","farther",1
"feature","feature",1
"federal","federal",1
"filed","filed",1
"files","files",1
"film","film",1
"filter","filter",1
"filters","filters",1
"finance","finance",1
"find","find",1
"fineartpls","fineartpls",1
"fiscal","fiscal",1
"flip","flip",1
"floral","floral",1
"florencetourism","florencetourism",1
"focusit","focusit",1
"follow","follow",1
"followart","followart",1
"foothold","foothold",1
"forever","forever",1
"forhigher","forhigher",1
"forthcomingrelease","forthcomingrelease",1
"framestore","framestore",1
"friday","friday",1
"friendly","friendly",1
"future","future",1
"futurejo","futurejo",1
"galaxygrand","galaxygrand",1
"galaxyimjustsaying","galaxyimjustsaying",1
"galaxynote","galaxynote",1
"galaxynoteandnoteedge","galaxynoteandnoteedge",1
"galaxynotelife","galaxynotelife",1
"galaxynotepro","galaxynotepro",1
"gearcirclegearcircle","gearcirclegearcircle",1
"gearis","gearis",1
"gears","gears",1
"genuine","genuine",1
"gfxbench","gfxbench",1
"ghz","ghz",1
"giant","giant",1
"girl","girl",1
"gives","gives",1
"globe","globe",1
"going","going",1
"google","google",1
"got","got",1
"grandbenchmarked","grandbenchmarked",1
"greenvilleiphonerepair","greenvilleiphonerepair",1
"grip","grip",1
"gsm","gsm",1
"gtil","gtil",1
"guru","guru",1
"gurupurab","gurupurab",1
"hanwha","hanwha",1
"hard","hard",1
